transportName,name,fullName,address
Bus;Caniço;Empresa de Automóveis do Caniço Lda;Rua D. Carlos I 8 – 1º andar, 9060-051 Funchal, Portugal
Bus;Horários do Funchal;Horários do Funchal - Transportes Públicos S.A.;Travessa da Fundoa de Baixo 5, 9020-242 Funchal
Bus;SAM;SAM - Sociedade de Automóveis da Madeira Lda.;Caminho do Regedor, Nazaré - São Martinho, 9000-096 Funchal – Portugal
Bus;Rodoeste;Rodoeste – Transportadora Rodoviária da Madeira;Rua do Esmeraldo, 50 - 52, 9000-051 Funchal, Portugal
